a,a,a,a,a
197,13678.75,197,60,4
198,8997.67,198,96,1
199,4738.83,199,93,2
200,4724.94,200,40,2
201,6221.84,201,13,2
202,382.18,202,70,3
203,25250.59,203,23,4
204,18367.42,204,47,4
205,18888.46,205,61,3
206,7526.18,206,83,2
207,32503.46,207,67,3
208,8152.17,208,13,4
209,30943.38,209,84,5
210,9772.84,210,4,4
211,12322.41,211,47,3
212,26032.26,212,19,5
213,11221.95,213,47,3
214,26211.47,214,50,1
215,24067.9,215,80,2
216,18297.5,216,6,1
217,20521.65,217,28,3
218,21466.5,218,45,2
219,8123.63,219,75,4
220,26275.32,220,80,3
221,19101.79,221,44,2
222,8100.67,222,95,1
223,19371.4,223,97,3
224,26593.19,224,60,2
225,1842.98,225,47,4
226,17937.19,226,33,3
227,1909.46,227,31,1
228,801.39,228,89,4
229,2345.68,229,90,5
230,7858.83,230,27,5
231,22521.8,231,38,5
232,5015.18,232,51,1
233,31491.18,233,23,2
234,27736.67,234,39,4
235,12632.96,235,59,3
236,10161.55,236,44,1
237,16000.52,237,82,4
238,27924.97,238,54,2
239,1780.95,239,39,3
240,4387.73,240,95,2
241,31906.51,241,29,1
242,27191.62,242,9,3
243,23405.98,243,91,5
244,29916.56,244,75,3
245,13738.65,245,36,5
246,18514.19,246,56,2
247,20644.3,247,24,5
248,23310.42,248,76,3
249,20761.11,249,57,1
250,5942.44,250,57,2
251,14267.24,251,43,2
252,16169.18,252,19,5
253,11696.29,253,84,2
254,8693.48,254,80,3
255,8466.78,255,4,4
256,8158.15,256,45,2
257,12656.56,257,51,4
258,32478.14,258,32,3
259,27722.91,259,18,5
260,3872.46,260,48,5
261,22937.1,261,50,5
262,8068.19,262,80,4
263,22597.81,263,9,5
264,16926.5,264,96,5
265,19117.96,265,74,3
266,24758.74,266,53,4
267,4899.97,267,41,5
268,8521.78,268,70,2
269,24685.58,269,73,3
270,6791.7,270,42,1
271,19013.64,271,89,2
272,22611.66,272,19,1
273,15834.22,273,79,2
274,12359.25,274,14,2
275,14925.96,275,56,5
276,26157.19,276,28,4
277,23861.8,277,14,4
278,8326.32,278,59,1
279,16155.4,279,80,1
280,11527.19,280,79,2
281,8190.42,281,70,3
282,5399,282,5,1
283,25552.82,283,91,5
284,595.74,284,40,1
285,24312.72,285,21,3
286,29450.5,286,91,1
287,29390.2,287,40,3
288,16065.29,288,39,2
289,31266.43,289,71,4
290,27312.97,290,55,5
291,1461.73,291,97,2
292,20035.77,292,88,2
293,26814.82,293,94,2
294,1946.85,294,37,3
295,5478.51,295,12,5
296,16394.12,296,73,3
297,18765.99,297,58,3
298,16538.13,298,32,2
299,2563.96,299,76,1
300,22150.98,300,93,5
301,29071.5,301,20,1
302,1983.72,302,63,1
303,19180.87,303,23,3
304,5993.88,304,15,5
305,32391.29,305,94,4
306,23131.13,306,36,1
307,20162.62,307,50,5
308,23459.35,308,78,5
309,25716.4,309,73,1
310,20736.94,310,7,4
311,11111.63,311,90,3
312,24422.5,312,79,3
313,32472.37,313,97,5
314,12157.24,314,75,2
315,9723.69,315,96,2
316,21026.22,316,73,5
317,8308.88,317,11,1
318,29925.11,318,10,2
319,17119.63,319,49,5
320,26249.47,320,7,1
321,9033.8,321,1,1
322,27528.73,322,88,1
323,21941.24,323,42,5
324,25228.58,324,40,3
325,30872.3,325,15,4
326,14582.19,326,48,1
327,4445.23,327,88,3
328,12123.94,328,47,2
329,14561.8,329,99,3
330,28162.9,330,89,4
331,6136.87,331,4,4
332,26984.38,332,44,5
333,13287.7,333,85,1
334,5820.11,334,100,5
335,2791.59,335,82,3
336,28771.27,336,53,4
337,169.22,337,31,5
338,19061.98,338,92,4
339,6860.98,339,49,3
340,30526.6,340,25,3
341,3433.32,341,5,2
342,15294.9,342,52,2
343,6024.3,343,93,1
344,5161.56,344,11,1
345,12199.46,345,92,2
346,18536.21,346,81,5
347,58.81,347,98,4
348,20631.19,348,19,4
349,13350.25,349,14,1
350,2436.6,350,54,2
351,4933.71,351,3,1
352,14646.94,352,47,4
353,28389.97,353,100,2
354,25444.51,354,78,4
355,24137.76,355,95,3
356,28153.75,356,38,4
357,19239.35,357,5,2
358,5527.27,358,63,5
359,20008.91,359,45,3
360,12817.18,360,87,2
361,23403.37,361,21,4
362,19184.76,362,74,1
363,16130.3,363,32,2
364,31727.88,364,93,2
365,26995.68,365,91,3
366,10622.22,366,71,2
367,3128.43,367,75,5
368,1346.7,368,95,4
369,1599.12,369,12,1
370,25236.52,370,96,5
371,8299.99,371,25,3
372,23294.5,372,34,1
373,6674.1,373,34,4
374,17089.17,374,74,2
375,1405.23,375,32,4
376,27986.92,376,41,3
377,29803.48,377,81,2
378,16856.31,378,41,1
379,29839.5,379,6,4
380,8112.53,380,11,1
381,23565.31,381,86,2
382,4841.31,382,71,3
383,26112.4,383,78,4
384,22728.59,384,92,4
385,7927.91,385,55,3
386,13381.33,386,9,2
387,8563.25,387,30,3
388,4748.85,388,49,5
389,8811.13,389,21,1
390,32637.79,390,64,4
391,19912.2,391,59,4
392,27180.6,392,23,1
393,29417.99,393,16,3
394,14690.1,394,4,4
395,289.41,395,70,1
396,12314.71,396,3,1
397,21556.58,397,61,1
398,8709.83,398,23,3
399,20701.73,399,76,2
400,30727.43,400,11,1
401,20811.14,401,98,1
402,1207.47,402,65,4
403,24992.28,403,54,1
404,10467.61,404,3,5
405,19568.17,405,83,3
406,18442.58,406,25,5
407,30536.53,407,81,1
408,3296.5,408,100,1
409,3876.91,409,54,3
410,32205.58,410,70,1
411,1272.72,411,26,1
412,24942.8,412,47,4
413,23080.18,413,19,5
414,29459.2,414,45,3
415,15632.7,415,82,3
416,26431.96,416,10,1
417,30077.38,417,60,3
418,16427.6,418,97,3
419,8498.36,419,21,2
420,29251.45,420,36,2
421,16484.77,421,53,3
422,22696.17,422,1,4
423,4669.42,423,70,5
424,31148.16,424,56,3
425,16733.43,425,8,5
426,7002.66,426,95,1
427,24660.63,427,25,1
428,10219.6,428,74,2
429,13866.22,429,21,5
430,25169.97,430,7,2
431,23256.43,431,58,2
432,27312.33,432,63,5
433,9164.42,433,77,1
434,4832.91,434,84,4
435,24681.19,435,76,1
436,749.49,436,1,5
437,26244.65,437,46,4
438,11671.4,438,85,4
439,28392.92,439,15,3
440,5330.83,440,24,5
441,16851.23,441,37,3
442,24135.1,442,51,1
443,13174.79,443,67,2
444,14289.89,444,29,2
445,28793.34,445,37,3
446,3073.5,446,93,2
447,6773.57,447,55,3
448,1691.94,448,65,5
449,13432.86,449,6,3
450,26902.5,450,90,5
451,24453.71,451,78,3
452,12064.41,452,69,3
453,26385.73,453,26,1
454,792.79,454,55,1
455,7560.22,455,86,5
456,658.67,456,18,1
457,2245.15,457,21,5
458,21206.83,458,95,4
459,24221.3,459,5,3
460,1377.19,460,6,5
461,20821.7,461,61,2
462,19554.36,462,5,4
463,11303.87,463,66,3
464,32575.64,464,21,2
465,16322.78,465,77,5
466,28430.19,466,99,4
467,7879.67,467,67,4
468,2844.2,468,92,4
469,10828.37,469,46,5
470,21865.59,470,6,2
471,28253.68,471,73,2
472,10026.14,472,76,4
473,20086.56,473,20,4
474,17734.91,474,34,3
475,522.35,475,37,3
476,17626.7,476,19,3
477,24831.95,477,32,1
478,16309.57,478,29,3
479,47.97,479,72,3
480,22748.78,480,25,3
481,7657.47,481,48,2
482,4359.38,482,40,4
483,24174.63,483,39,4
484,27425.31,484,11,1
485,22644.82,485,33,2
486,24780.71,486,79,3
487,29095.54,487,47,1
488,9948.5,488,78,4
489,2851.96,489,47,2
490,16855.64,490,56,1
491,32251.23,491,17,5
492,27260.97,492,31,5
493,26549.87,493,75,4
494,16952.71,494,100,5
495,18124.99,495,70,4
496,22450.56,496,16,1
497,26413.68,497,55,1
498,31553.41,498,27,2
499,7866.35,499,35,4
500,25456.44,500,44,3
